iter	RMSE
0	0.2802458562
1	0.2725172837
2	0.2650506164
3	0.2583350277
4	0.2520601667
5	0.246003377
6	0.2403227322
7	0.2350880662
8	0.2301473849
9	0.2260805999
10	0.2219478382
11	0.2181601119
12	0.2149126514
13	0.2115204649
14	0.2083222431
15	0.2052996544
16	0.2027545047
17	0.2002405128
18	0.1976245575
19	0.195410769
20	0.1933607092
21	0.1915484288
22	0.1898849789
23	0.1882887229
24	0.1867915546
25	0.1856543307
26	0.1843591186
27	0.1832030816
28	0.1821190665
29	0.1810387235
30	0.1801372784
31	0.179170055
32	0.1784460142
33	0.1776173554
34	0.1768660314
35	0.1762038101
36	0.1754599855
37	0.1746514719
38	0.1740050201
39	0.1734431923
40	0.1729633904
41	0.1723525156
42	0.1718780392
43	0.171552327
44	0.1712472925
45	0.1709063396
46	0.1706677605
47	0.1703220851
48	0.1701590847
49	0.1698679385
50	0.1695471072
51	0.1693265703
52	0.169194694
53	0.1689466747
54	0.1686852843
55	0.1685541606
56	0.1683816666
57	0.1681841822
58	0.1680668788
59	0.167950306
60	0.1678060696
61	0.167673783
62	0.1674726025
63	0.1673405023
64	0.1672435933
65	0.1671355514
66	0.1670415431
67	0.1669024384
68	0.1668195969
69	0.1666946488
70	0.1665935873
71	0.166506665
72	0.1664060019
73	0.166266383
74	0.1661747021
75	0.1660977748
76	0.1660025183
77	0.1659399742
78	0.1658530511
79	0.1658107848
80	0.1657804105
81	0.1657701774
82	0.165734504
83	0.1656472056
84	0.1656007054
85	0.1655733423
86	0.1654982937
87	0.1654809858
88	0.1653563053
89	0.1653355366
90	0.1652673806
91	0.165237967
92	0.1652177108
93	0.16519512
94	0.1651531446
95	0.1650961681
96	0.1650447781
97	0.1650014676
98	0.1649724807
99	0.1649640086
100	0.1649295908
101	0.1648879833
102	0.1648360476
103	0.1648192541
104	0.1648053939
105	0.1647907175
106	0.1647779209
107	0.1647346766
108	0.1646995813
109	0.1646614396
110	0.1646159652
111	0.1645768014
112	0.1645362889
113	0.1645057933
114	0.1644997886
115	0.1644493294
116	0.1644348336
117	0.164420548
118	0.1644010536
119	0.1643579132
120	0.1643547292
121	0.1643256476
122	0.164298943
123	0.1642702654
124	0.1642018106
125	0.1641893479
126	0.1641871385
127	0.1641735172
128	0.1641771726
129	0.1640850656
130	0.1640647252
131	0.1640593902
132	0.1640281265
133	0.1640157505
134	0.1640143684
135	0.1639764833
136	0.1639486295
137	0.1639142997
138	0.1638806981
139	0.1637848814
140	0.1637559934
141	0.1637514916
142	0.1637213747
143	0.1636692797
144	0.1636307634
145	0.163602093
146	0.1635946858
147	0.1635716462
148	0.1635404621
149	0.1635371201
150	0.1634728233
151	0.1634465546
152	0.1633814895
153	0.1633565432
154	0.1633320969
155	0.1633091324
156	0.1632821924
157	0.1632774447
158	0.1632560778
159	0.1632475507
160	0.1632307592
161	0.1632253814
162	0.1631888691
163	0.1631803705
164	0.1631779522
165	0.1631463642
166	0.1631400409
167	0.1631161882
168	0.1631007335
169	0.1630779574
170	0.1630519304
171	0.1630287823
172	0.1629584941
173	0.1629231241
174	0.1629055393
175	0.1628612867
176	0.162835579
177	0.162797966
178	0.1627845773
179	0.162776825
180	0.1627686445
181	0.1627659329
182	0.1627640004
183	0.1627613391
184	0.1627079539
185	0.1626876208
186	0.1626853937
187	0.1626836489
188	0.1626437697
189	0.1626410478
190	0.1626312909
191	0.1626005313
192	0.16257899
193	0.1625753442
194	0.1625219737
195	0.16247467
196	0.1624710006
197	0.1624626171
198	0.1624293366
199	0.1624104549
200	0.1624045298
201	0.1623960324
202	0.1623730774
203	0.162370107
204	0.162323048
205	0.162275823
206	0.1622565204
207	0.1622484794
208	0.1622305879
209	0.1622119943
210	0.1621667674
211	0.1621457855
212	0.1621330359
213	0.1621161695
214	0.1620980208
215	0.1620856474
216	0.1620798733
217	0.1620391491
218	0.1620372139
219	0.162034862
220	0.1620261676
221	0.161996999
222	0.1619853307
223	0.1619740355
224	0.1619683761
225	0.1619571883
226	0.1619489474
227	0.1619331562
228	0.1619241811
229	0.1619130189
230	0.1619015292
231	0.1618647615
232	0.1618311264
233	0.1618230289
234	0.1618056492
235	0.1617737803
236	0.1617636148
237	0.1617302501
238	0.1617141359
239	0.161706037
240	0.1616903621
241	0.1616760182
242	0.1616668575
243	0.1616520805
244	0.1616218011
245	0.1615896294
246	0.1615810864
247	0.1615673348
248	0.1615531912
249	0.1615399684
250	0.1615269034
251	0.1615141948
252	0.1615064303
253	0.1614912902
254	0.1614614456
255	0.1614333349
256	0.161421114
257	0.1614086242
258	0.1613968234
259	0.1613674421
260	0.1613596052
261	0.1613519412
262	0.1613403847
263	0.1613326255
264	0.1613023783
265	0.1612910444
266	0.1612626927
267	0.1612517203
268	0.1612411508
269	0.1612360767
270	0.1611664844
271	0.1611595235
272	0.1611348393
273	0.1611088387
274	0.1610989242
275	0.1610923738
276	0.1610830273
277	0.1610767557
278	0.1610706
279	0.1610618265
280	0.1610415781
281	0.1610341254
282	0.1610265552
283	0.1610039248
284	0.1609979354
285	0.1609920681
286	0.1609837237
287	0.1609781058
288	0.1609725815
289	0.1609647791
290	0.1609408604
291	0.1609200678
292	0.1609005411
293	0.1608953352
294	0.1608897188
295	0.1608305276
296	0.1607443994
297	0.1606897733
298	0.1606824663
299	0.1606599733
