iter	Passed	Remaining
0	49	14723
1	49	7424
2	50	4967
3	50	3738
4	50	2998
5	51	2504
6	51	2152
7	51	1887
8	52	1681
9	52	1516
10	52	1381
11	52	1268
12	53	1174
13	53	1092
14	53	1022
15	54	960
16	54	906
17	54	857
18	55	814
19	55	774
20	55	739
21	55	707
22	56	677
23	56	650
24	56	625
25	57	602
26	57	581
27	57	561
28	58	543
29	58	525
30	58	509
31	59	494
32	59	480
33	59	466
34	59	452
35	60	440
36	60	429
37	60	418
38	61	408
39	61	398
40	61	389
41	61	380
42	62	371
43	62	363
44	62	355
45	63	348
46	63	341
47	63	334
48	64	328
49	64	321
50	64	315
51	64	309
52	65	304
53	65	298
54	65	293
55	66	288
56	66	283
57	66	278
58	67	274
59	67	269
60	67	265
61	68	261
62	68	257
63	68	253
64	68	249
65	69	245
66	69	241
67	69	238
68	70	234
69	70	231
70	70	228
71	71	224
72	71	221
73	71	218
74	71	215
75	72	212
76	72	209
77	72	206
78	72	204
79	73	201
80	73	199
81	73	196
82	74	194
83	74	191
84	74	189
85	75	186
86	75	184
87	75	182
88	76	180
89	76	178
90	76	175
91	76	173
92	77	171
93	77	169
94	77	167
95	78	165
96	78	164
97	78	162
98	78	160
99	79	158
100	79	156
101	79	155
102	80	153
103	80	151
104	80	150
105	81	148
106	81	147
107	81	145
108	82	143
109	82	142
110	82	140
111	83	139
112	83	138
113	83	136
114	84	135
115	84	133
116	84	132
117	85	131
118	85	129
119	85	128
120	85	127
121	86	125
122	86	124
123	86	123
124	87	121
125	87	120
126	87	119
127	88	118
128	88	117
129	88	115
130	88	114
131	89	113
132	89	112
133	89	111
134	90	110
135	90	109
136	90	108
137	91	106
138	91	105
139	91	104
140	92	103
141	92	102
142	92	101
143	93	100
144	93	99
145	93	98
146	93	97
147	94	96
148	94	95
149	94	94
150	95	93
151	95	93
152	95	92
153	96	91
154	96	90
155	96	89
156	97	88
157	97	87
158	97	86
159	98	85
160	98	85
161	98	84
162	99	83
163	99	82
164	99	81
165	100	80
166	100	80
167	100	79
168	101	78
169	101	77
170	101	76
171	102	75
172	102	75
173	102	74
174	103	73
175	103	72
176	103	72
177	104	71
178	104	70
179	104	69
180	104	69
181	105	68
182	105	67
183	105	66
184	106	66
185	106	65
186	106	64
187	107	63
188	107	63
189	107	62
190	108	61
191	108	61
192	108	60
193	109	59
194	109	58
195	109	58
196	110	57
197	110	56
198	110	56
199	110	55
200	111	54
201	111	54
202	111	53
203	112	52
204	112	52
205	112	51
206	113	50
207	113	50
208	113	49
209	114	48
210	114	48
211	114	47
212	114	46
213	115	46
214	115	45
215	115	45
216	116	44
217	116	43
218	116	43
219	117	42
220	117	41
221	117	41
222	117	40
223	118	40
224	118	39
225	118	38
226	119	38
227	119	37
228	119	37
229	120	36
230	120	35
231	120	35
232	121	34
233	121	34
234	121	33
235	121	33
236	122	32
237	122	31
238	122	31
239	123	30
240	123	30
241	123	29
242	124	29
243	124	28
244	124	28
245	125	27
246	125	26
247	125	26
248	125	25
249	126	25
250	126	24
251	126	24
252	127	23
253	127	23
254	127	22
255	128	22
256	128	21
257	128	20
258	129	20
259	129	19
260	129	19
261	130	18
262	130	18
263	130	17
264	130	17
265	131	16
266	131	16
267	131	15
268	132	15
269	132	14
270	132	14
271	133	13
272	133	13
273	133	12
274	134	12
275	134	11
276	134	11
277	135	10
278	135	10
279	135	9
280	135	9
281	136	8
282	136	8
283	136	7
284	137	7
285	137	6
286	137	6
287	138	5
288	138	5
289	138	4
290	139	4
291	139	3
292	139	3
293	139	2
294	140	2
295	140	1
296	140	1
297	141	0
298	141	0
299	141	0
